Year,League,Series_Name,Series_Dates,Winner_Team,Winner_Wins,Loser_Team,Loser_Wins,Winner_Seed,Loser_Seed,Favorite_Team,Favorite_Odds,Underdog_Team,Underdog_Odds
2024,NBA,Eastern Conf First Round,Apr 21 - May 1 2024,Boston Celtics,4,Miami Heat,1,1,8,BOS,-10000.0,MIA,2000.0
2024,NBA,Eastern Conf First Round,Apr 20 - May 5 2024,Cleveland Cavaliers,4,Orlando Magic,3,4,5,CLE,-210.0,ORL,180.0
2024,NBA,Eastern Conf First Round,Apr 21 - May 2 2024,Indiana Pacers,4,Milwaukee Bucks,2,6,3,IND,-125.0,MIL,105.0
2024,NBA,Eastern Conf First Round,Apr 20 - May 2 2024,New York Knicks,4,Philadelphia 76ers,2,2,7,NYK,-140.0,PHI,120.0
2024,NBA,Western Conf First Round,Apr 21 - Apr 29 2024,Oklahoma City Thunder,4,New Orleans Pelicans,0,1,8,OKC,-700.0,NOP,500.0
2024,NBA,Western Conf First Round,Apr 21 - May 3 2024,Dallas Mavericks,4,Los Angeles Clippers,2,5,4,DAL,-190.0,LAC,165.0
2024,NBA,Western Conf First Round,Apr 20 - Apr 28 2024,Minnesota Timberwolves,4,Phoenix Suns,0,3,6,PHO,-130.0,MIN,110.0
2024,NBA,Western Conf First Round,Apr 20 - Apr 29 2024,Denver Nuggets,4,Los Angeles Lakers,1,2,7,DEN,-340.0,LAL,280.0
2024,NBA,Eastern Conf Semifinals,May 6 - May 19 2024,Indiana Pacers,4,New York Knicks,3,6,2,NYK,-260.0,IND,220.0
2024,NBA,Western Conf Semifinals,May 7 - May 18 2024,Dallas Mavericks,4,Oklahoma City Thunder,2,5,1,OKC,-130.0,DAL,110.0
2024,NBA,Western Conf Semifinals,May 4 - May 19 2024,Minnesota Timberwolves,4,Denver Nuggets,3,3,2,DEN,-200.0,MIN,170.0
2024,NBA,Eastern Conf Semifinals,May 7 - May 15 2024,Boston Celtics,4,Cleveland Cavaliers,1,1,4,BOS,-2500.0,CLE,1100.0
2024,NBA,Eastern Conf Finals,May 21 - May 27 2024,Boston Celtics,4,Indiana Pacers,0,1,6,BOS,-900.0,IND,600.0
2024,NBA,Western Conf Finals,May 22 - May 30 2024,Dallas Mavericks,4,Minnesota Timberwolves,1,5,3,MIN,-175.0,DAL,155.0
2024,NBA,Finals,Jun 6 - Jun 17 2024,Boston Celtics,4,Dallas Mavericks,1,1,5,BOS,-900.0,IND,600.0
2023,NBA,Eastern Conf First Round,Apr 16 - Apr 26 2023,Miami Heat,4,Milwaukee Bucks,1,8,1,MIL,-1200.0,MIA,750.0
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 26 2023,New York Knicks,4,Cleveland Cavaliers,1,5,4,CLE,-190.0,NYK,170.0
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 22 2023,Philadelphia 76ers,4,Brooklyn Nets,0,3,6,PHI,-1100.0,BRK,700.0
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2023,Boston Celtics,4,Atlanta Hawks,2,2,7,BOS,-1600.0,ATL,900.0
2023,NBA,Western Conf First Round,Apr 16 - Apr 25 2023,Denver Nuggets,4,Minnesota Timberwolves,1,1,8,DEN,-550.0,MIN,425.0
2023,NBA,Western Conf First Round,Apr 16 - Apr 25 2023,Phoenix Suns,4,Los Angeles Clippers,1,4,5,PHO,-500.0,LAC,400.0
2023,NBA,Western Conf First Round,Apr 15 - Apr 30 2023,Golden State Warriors,4,Sacramento Kings,3,6,3,GSW,-265.0,SAC,225.0
2023,NBA,Western Conf First Round,Apr 16 - Apr 28 2023,Los Angeles Lakers,4,Memphis Grizzlies,2,7,2,MEM,-140.0,LAL,120.0
2023,NBA,Eastern Conf Semifinals,Apr 30 - May 12 2023,Miami Heat,4,New York Knicks,2,8,5,NYK,-160.0,MIA,140.0
2023,NBA,Eastern Conf Semifinals,May 1 - May 14 2023,Boston Celtics,4,Philadelphia 76ers,3,2,3,BOS,-550.0,PHI,425.0
2023,NBA,Western Conf Semifinals,Apr 29 - May 11 2023,Denver Nuggets,4,Phoenix Suns,2,1,4,PHO,-120.0,DEN,100.0
2023,NBA,Western Conf Semifinals,May 2 - May 12 2023,Los Angeles Lakers,4,Golden State Warriors,2,7,6,GSW,-150.0,LAL,130.0
2023,NBA,Western Conf Finals,May 16 - May 22 2023,Denver Nuggets,4,Los Angeles Lakers,0,1,7,DEN,-170.0,LAL,145.0
2023,NBA,Eastern Conf Finals,May 17 - May 29 2023,Miami Heat,4,Boston Celtics,3,8,2,BOS,-550.0,MIA,400.0
