Conference,Seed,Team,First Round,Conf Semifinals,Conf Finals,Champion
Eastern,1,Cleveland Cavaliers,69.5,38.8,20.7,10.7
Eastern,2,Boston Celtics,63.3,37.4,19.8,9.6
Eastern,3,New York Knicks,57.99999999999999,27.9,14.3,6.6000000000000005
Eastern,4,Indiana Pacers,53.3,27.6,15.0,7.6
Eastern,5,Milwaukee Bucks,46.7,21.9,10.8,4.9
Eastern,6,Detroit Pistons,42.00000000000001,19.2,8.3,3.7
Eastern,7,Orlando Magic,36.7,15.5,6.2,1.7999999999999998
Eastern,8,Miami Heat,30.5,11.7,4.9,1.5
Western,1,Oklahoma City Thunder,56.99999999999999,32.7,18.1,10.2
Western,2,Houston Rockets,57.49999999999999,29.6,14.7,7.199999999999999
Western,3,Los Angeles Lakers,53.7,27.3,13.8,7.199999999999999
Western,4,Denver Nuggets,47.6,21.7,11.2,5.800000000000001
Western,5,LA Clippers,52.400000000000006,23.200000000000003,11.7,5.7
Western,6,Minnesota Timberwolves,46.3,22.0,10.2,6.1
Western,7,Golden State Warriors,42.50000000000001,21.1,10.1,5.2
Western,8,Memphis Grizzlies,43.00000000000001,22.4,10.2,6.2
